"title","person","name"
"Fine-grained Entity Type Inference in RDF Knowledge Graphs","https://w3id.org/scholarlydata/person/a-b-m-moniruzzaman","A B M Moniruzzaman"
"LC-QuAD 2.0: A large dataset for complex question answering over Wikidata and DBpedia .","https://w3id.org/scholarlydata/person/abdelrahman-abdelkawi","Abdelrahman Abdelkawi"
"Microbenchmarks for Question AnsweringSystems Using QaldGen","https://w3id.org/scholarlydata/person/abhishek-nadgeri","Abhishek Nadgeri"
"QaldGen: Towards Microbenchmarking of Question Answering Systems Over Knowledge Graphs","https://w3id.org/scholarlydata/person/abhishek-nadgeri","Abhishek Nadgeri"
"Visual Queries over Scholarly Data and other Linked Data Endpoints","https://w3id.org/scholarlydata/person/agris-sostaks","Agris Sostaks"
"Incorporating Literals into Knowledge Graph Embeddings","https://w3id.org/scholarlydata/person/agustinus-kristiadi","Agustinus Kristiadi"
"FALCON: An Entity and Relation Linking framework over DBpedia","https://w3id.org/scholarlydata/person/ahmad-sakor","Ahmad Sakor"
"Visual Queries over Scholarly Data and other Linked Data Endpoints","https://w3id.org/scholarlydata/person/aiga-romane","Aiga Romane"
"Bootstrapping the Publication of Streaming Linked Data","https://w3id.org/scholarlydata/person/alessandro-falcetta","Alessandro Falcetta"
"Knowledge Graph Embedding for Triples Fact Validation","https://w3id.org/scholarlydata/person/alexis-pister","Alexis Pister"
"On the Use of Cloud and Semantic Web Technologies for Generative Design","https://w3id.org/scholarlydata/person/ali-hashemi","Ali Hashemi"
"Fact Validation with Knowledge Graph Embeddings","https://w3id.org/scholarlydata/person/ammar-ammar","Ammar Ammar"
"Semantic Technologies for the Production and Publication of Open Data in ACI - Automobile Club d’Italia","https://w3id.org/scholarlydata/person/andrea-molinari","Andrea Molinari"
"The SEPSES knowledge graph: An integrated resource for cybersecurity","https://w3id.org/scholarlydata/person/andreas-ekelhart","Andreas Ekelhart"
"Towards Semantic Integration of Bosch Manufacturing Data","https://w3id.org/scholarlydata/person/anees-mehdi","Anees Mehdi"
"Using a Knowledge Graph of Scenes to Enable Search of Autonomous Driving Data","https://w3id.org/scholarlydata/person/anh-tuan-tran","Anh Tuan Tran"
