article,sentence,funding,technical_support,facilities
234,Acknowledgements.,0.6839945912361145,0.7998093366622925,0.6772198677062988
234,This work is partly funded by the FP7 projects EURECA under grant nr. 288048 and ImREAL under grant nr. 257831.,0.6371808648109436,0.5889726877212524,0.646420955657959
306,Acknowledgments.,0.6841526627540588,0.791215181350708,0.6630123257637024
306,"This work was supported by the 863 Program under Grant 2015AA015406, the NSFC under Grant 61572247 and 61223003, and the Fundamental Research Funds for the Central Universities.",0.7038938999176025,0.6855862736701965,0.7355374097824097
97,Acknowledgments.,0.6841526031494141,0.7912153005599976,0.6630121469497681
97,The authors sincerely thank Jürg Schenker and Martin Hägeli for the fruitful discussions and leadership that made this research possible.,0.5451067686080933,0.6310908198356628,0.5262798070907593
97,They also acknowledge the stimulating discussions and exchange of ideas with Prof. Dr. rer. nat. habil. Ralf Möller from Hamburg University of Technology.,0.4660778045654297,0.5974583029747009,0.4906400442123413
97,This research has been funded and conducted in cooperation with the Swiss Federal Office for the Environment (FOEN).,0.636677622795105,0.5671666264533997,0.6062761545181274
161,Acknowledgments.,0.6841526627540588,0.791215181350708,0.6630123257637024
161,This work has been supported by the European Commission project SemSorGrid4Env (FP7-223913).,0.6542668342590332,0.6536802053451538,0.6945703029632568
161,"We also thank Alvaro A. A. Fernandes, Ixent Galpin, and Norman W. Paton, from the University of Manchester, for their valuable ideas and suggestions.",0.5235808491706848,0.5933840870857239,0.5045811533927917
380,Acknowledgements.,0.6839943528175354,0.7998093962669373,0.6772198677062988
380,"The authors gratefully acknowledge the ongoing support and funding of the DARPA LORELEI program, and the aid of our partner collaborators and users in providing detailed analysis.",0.6207848787307739,0.6349263787269592,0.6495089530944824
380,"The views and conclusions contained herein are those of the authors and should not be interpreted as necessarily representing the oﬃcial policies or endorsements, either expressed or implied, of DARPA, AFRL, or the U.S. Government.",0.5162296891212463,0.5741407871246338,0.5439155101776123
398,Acknowledgments.,0.6841526627540588,0.791215181350708,0.6630123257637024
398,This research was partially supported by Labex DigiCosme (project ANR-11-LABEX-0045-DIGICOSME) operated by ANR as part of the program “Investissement d’Avenir” Idex Paris-Saclay (ANR-11-IDEX-0003-02).,0.660144567489624,0.6010801792144775,0.6708363890647888
79,Acknowledgements.,0.6839943528175354,0.7998093962669373,0.6772198677062988
79,"We want to thank Pompeu Casanovas and Nuria Casellas Caralt for providing the OPJK ontology, and thank Michel Klein for providing the BiosSAIL Ontology for the tests.",0.5155467391014099,0.5870518088340759,0.5516170859336853
79,The work reported in this paper was partially supported by the EU-funded SEKT project(IST-506826).,0.6718088388442993,0.6552283763885498,0.6712920665740967
223,Acknowledgements.,0.6839943528175354,0.7998093962669373,0.6772198677062988
223,This research is based upon work supported in part by the National Science Foundation under award number IIS-1117913.,0.6665478944778442,0.5955557823181152,0.6537929773330688
223,"The views and conclusions contained herein are those of the authors and should not be interpreted as necessarily representing the oﬃcial policies or endorsements, either expressed or implied, of NSF or any person connected with them.",0.5472435355186462,0.5762863159179688,0.516546368598938
